URI	rdf-schema#label	country_label	country	populationTotal	wgs84_pos#lat	wgs84_pos#long
URI	http://www.w3.org/2000/01/rdf-schema#label	http://dbpedia.org/ontology/country	http://dbpedia.org/ontology/country	http://dbpedia.org/ontology/populationTotal	http://www.w3.org/2003/01/geo/wgs84_pos#lat	http://www.w3.org/2003/01/geo/wgs84_pos#long
URI	XMLSchema#string	XMLSchema#string	Country	XMLSchema#nonNegativeInteger	XMLSchema#float	XMLSchema#float
http://www.w3.org/2002/07/owl#Thing	http://www.w3.org/2001/XMLSchema#string	http://www.w3.org/2001/XMLSchema#string	http://dbpedia.org/ontology/Country	http://www.w3.org/2001/XMLSchema#nonNegativeInteger	http://www.w3.org/2001/XMLSchema#float	http://www.w3.org/2001/XMLSchema#float
http://dbpedia.org/resource/Kud	Kud	India	http://dbpedia.org/resource/India	1140	33.08	75.28
http://dbpedia.org/resource/Kuju,_Hazaribag	Kuju Hazaribag	India	http://dbpedia.org/resource/India	18049	23.72	85.5
http://dbpedia.org/resource/Kumbhraj	Kumbhraj	India	http://dbpedia.org/resource/India	13999	24.37	77.05
http://dbpedia.org/resource/Kumhari	Kumhari	India	http://dbpedia.org/resource/India	29737	21.27	81.52
http://dbpedia.org/resource/Kundgol	Kundgol	India	http://dbpedia.org/resource/India	16837	15.25	75.25
http://dbpedia.org/resource/Kunigal	Kunigal	India	http://dbpedia.org/resource/India	30291	13.02	77.03
http://dbpedia.org/resource/Kunzer	Kunzer	India	http://dbpedia.org/resource/India	1901	34.09	74.5
http://dbpedia.org/resource/Kurduvadi	Kurduvadi	India	http://dbpedia.org/resource/India	22773	18.08	75.43
http://dbpedia.org/resource/Kurgunta	Kurgunta	India	http://dbpedia.org/resource/India	8584	17.2	77.35
http://dbpedia.org/resource/Kurinjipadi	Kurinjipadi	India	http://dbpedia.org/resource/India	23159	11.57	79.6
http://dbpedia.org/resource/Kurud	Kurud	India	http://dbpedia.org/resource/India	11469	20.83	81.72
http://dbpedia.org/resource/Kushtagi	Kushtagi	India	http://dbpedia.org/resource/India	21180	15.77	76.2
http://dbpedia.org/resource/Ladnu	Ladnu	India	http://dbpedia.org/resource/India	57047	27.65	74.3833
http://dbpedia.org/resource/Lahar,_India	Lahar India	India	http://dbpedia.org/resource/India	28253	24.9	79.02
http://dbpedia.org/resource/Laharpur	Laharpur	India	http://dbpedia.org/resource/India	50080	27.72	80.9
http://dbpedia.org/resource/Lakheri	Lakheri	India	http://dbpedia.org/resource/India	26910	25.67	76.17
http://dbpedia.org/resource/Lakhipur	Lakhipur	India	http://dbpedia.org/resource/India	12545	24.8	93.02
http://dbpedia.org/resource/Laksar	Laksar	India	http://dbpedia.org/resource/India	18240	29.77	78.05
http://dbpedia.org/resource/Lalkuan	Lalkuan	India	http://dbpedia.org/resource/India	6524	29.08	79.52
http://dbpedia.org/resource/Lalsot	Lalsot	India	http://dbpedia.org/resource/India	192278	26.57	76.33
http://dbpedia.org/resource/Landhaura	Landhaura	India	http://dbpedia.org/resource/India	16022	29.82	77.93
http://dbpedia.org/resource/Lanja	Lanja	India	http://dbpedia.org/resource/India	12278	16.85	73.55
http://dbpedia.org/resource/Lasalgaon	Lasalgaon	India	http://dbpedia.org/resource/India	12525	20.15	74.23
http://dbpedia.org/resource/Lingasugur	Lingasugur	India	http://dbpedia.org/resource/India	34932	16.17	76.52
http://dbpedia.org/resource/Lodhikheda	Lodhikheda	India	http://dbpedia.org/resource/India	9302	21.58	78.83
http://dbpedia.org/resource/Losal	Losal	India	http://dbpedia.org/resource/India	25355	27.4	74.92
http://dbpedia.org/resource/Lormi	Lormi	India	http://dbpedia.org/resource/India	12158	22.28	81.73
http://dbpedia.org/resource/Machalpur	Machalpur	India	http://dbpedia.org/resource/India	7884	24.13	76.3
http://dbpedia.org/resource/Macherla	Macherla	India	http://dbpedia.org/resource/India	49113	16.48	79.43
http://dbpedia.org/resource/Machhiwara	Machhiwara	India	http://dbpedia.org/resource/India	18363	30.91	76.2
http://dbpedia.org/resource/Machhali_Shahar	Machhali Shahar	India	http://dbpedia.org/resource/India	22943	25.68	82.42
http://dbpedia.org/resource/Madambakkam	Madambakkam	India	http://dbpedia.org/resource/India	16556	12.9038	80.1586
http://dbpedia.org/resource/Madanpur,_India	Madanpur India	India	http://dbpedia.org/resource/India	12030	23.02	88.48
http://dbpedia.org/resource/Madhoganj	Madhoganj	India	http://dbpedia.org/resource/India	9861	27.12	80.15
http://dbpedia.org/resource/Madhugiri	Madhugiri	India	http://dbpedia.org/resource/India	26351	13.66	77.21
http://dbpedia.org/resource/Madhupur,_Deoghar	Madhupur Deoghar	India	http://dbpedia.org/resource/India	200000	24.25	86.65
http://dbpedia.org/resource/Magam	Magam	India	http://dbpedia.org/resource/India	4306	34.08	74.58
http://dbpedia.org/resource/Mahaban	Mahaban	India	http://dbpedia.org/resource/India	8608	27.43	77.75
http://dbpedia.org/resource/Mahemdavad	Mahemdavad	India	http://dbpedia.org/resource/India	30769	22.83	72.77
http://dbpedia.org/resource/Maholi	Maholi	India	http://dbpedia.org/resource/India	18406	27.67	80.47
http://dbpedia.org/resource/Mahudha	Mahudha	India	http://dbpedia.org/resource/India	15780	22.82	72.93
http://dbpedia.org/resource/Maindargi	Maindargi	India	http://dbpedia.org/resource/India	11754	17.47	76.3
http://dbpedia.org/resource/Mairang	Mairang	India	http://dbpedia.org/resource/India	11517	25.57	91.63
http://dbpedia.org/resource/Majitha	Majitha	India	http://dbpedia.org/resource/India	13006	31.76	74.95
http://dbpedia.org/resource/Maksi	Maksi	India	http://dbpedia.org/resource/India	98392	23.27	76.15
http://dbpedia.org/resource/Makum	Makum	India	http://dbpedia.org/resource/India	15058	27.5	95.45
http://dbpedia.org/resource/Malavalli	Malavalli	India	http://dbpedia.org/resource/India	35800	12.38	77.08
http://dbpedia.org/resource/Malihabad	Malihabad	India	http://dbpedia.org/resource/India	15806	{26.92|26.94}	80.72
http://dbpedia.org/resource/Malkapur,_Buldhana	Malkapur Buldhana	India	http://dbpedia.org/resource/India	72015	{20.52|20.536}	{76.1124|76.12}
http://dbpedia.org/resource/Malkapur,_Kolhapur	Malkapur Kolhapur	India	http://dbpedia.org/resource/India	5503	16.93	73.92
http://dbpedia.org/resource/Malkera	Malkera	India	http://dbpedia.org/resource/India	9804	23.78	86.3
http://dbpedia.org/resource/Mallur,_Salem	Mallur Salem	India	http://dbpedia.org/resource/India	52482	11.55	78.13
http://dbpedia.org/resource/Malpura	Malpura	India	http://dbpedia.org/resource/India	27242	26.28	75.38
http://dbpedia.org/resource/Manamadurai	Manamadurai	India	http://dbpedia.org/resource/India	26284	9.7	78.48
http://dbpedia.org/resource/Manawar	Manawar	India	http://dbpedia.org/resource/India	25460	22.23	75.08
http://dbpedia.org/resource/Manchar	Manchar	India	http://dbpedia.org/resource/India	13793	19.0	73.93
http://dbpedia.org/resource/Mandalgarh	Mandalgarh	India	http://dbpedia.org/resource/India	20161	25.2	75.1
http://dbpedia.org/resource/Mandapam	Mandapam	India	http://dbpedia.org/resource/India	15799	9.28	79.12
http://dbpedia.org/resource/Mandawar,_Rajasthan	Mandawar Rajasthan	India	http://dbpedia.org/resource/India	10108	24.58	76.25
http://dbpedia.org/resource/Manegaon,_Madhya_Pradesh	Manegaon Madhya Pradesh	India	http://dbpedia.org/resource/India	9174	21.85	80.25
http://dbpedia.org/resource/Mangawan	Mangawan	India	http://dbpedia.org/resource/India	11556	24.68	81.55
http://dbpedia.org/resource/Mangrol	Mangrol	India	http://dbpedia.org/resource/India	55094	21.12	70.12
http://dbpedia.org/resource/Mangrol,_Rajasthan	Mangrol Rajasthan	India	http://dbpedia.org/resource/India	21836	25.33	76.52
http://dbpedia.org/resource/Manjlegaon	Manjlegaon	India	http://dbpedia.org/resource/India	43969	19.15	76.23
http://dbpedia.org/resource/Mankachar	Mankachar	India	http://dbpedia.org/resource/India	28771	25.53	89.87
http://dbpedia.org/resource/Marandahalli	Marandahalli	India	http://dbpedia.org/resource/India	10171	12.4	78.0
